description,name,number_availability,price,review,sold_by
No,صابونة اللبن و العسل,Only 1 left,EGP 50,0 Review(s),mk 5020
No,"صابونة ""ماورد"" ماء الورد",Only 1 left,EGP 80,0 Review(s),mk 5020
سيراميك,فنجال بالطبق مرسوم 4,Only 4 left,EGP 190,0 Review(s),MK 3044
خشب,قاعده اكواب خشب,Only 10 left,EGP 35,0 Review(s),MK 3044
معدن,سلسلة بدلاية معدن أوكسيدية 118,Only 10 left,EGP 65,0 Review(s),mk 5013
ورق,كتاب الزواج,Only 5 left,EGP 200,0 Review(s),mk 4070
No,سبحة 26,Only 3 left,EGP 65,0 Review(s),mk  1010
صلصال حراري,سلسلة بدلاية صلصال حراري 99,Only 3 left,EGP 95,0 Review(s),mk 4041
خشب,حامل معلق,Only 2 left,EGP 580,0 Review(s),mk 5014
قماش,سجادة صلاه,Only 1 left,EGP 230,0 Review(s),
خشب,ميدالية خشب,Only 6 left,EGP 40,0 Review(s),mk 5066
معدن,أسوره يد ,Only 12 left,EGP 50,0 Review(s),sam 4015
ورق,مجموعة  حصاله  وراقية (4),Only 4 left,EGP 35,0 Review(s),mk 5072
قماش,Bracelet-Natural Agate Stone,Only 7 left,EGP 55,0 Review(s),MK 3760
سيراميك,Ceramic Mug-Mared Washwshni&Shalapy,Only 9 left,EGP 250,0 Review(s),MK 4032
جلد,Leather Sketch Book-Mandala,Only 9 left,EGP 200,0 Review(s),MK 3920
سيراميك,مج سيراميك مرسوم 27,Only 2 left,EGP 165,0 Review(s),MK 3044
معدن,حلق معدني ,Only 7 left,EGP 135,0 Review(s),MK 3014
كروشيه,سجادة من خيط المكرمية 2,Only 2 left,EGP 130,0 Review(s),MK 3086
معدن,سلسلة بدلاية معدن أوكسيدية 121,Only 10 left,EGP 80,0 Review(s),Mariam Talha
معدن,أسوره يد ,Only 12 left,EGP 50,0 Review(s),sam 4015
معدن,سلسلة بدلاية معدن أوكسيدية 123,Only 10 left,EGP 80,0 Review(s),Mariam Talha
صلصال حراري,سلسلة بدلاية صلصال حراري 98,Only 2 left,EGP 95,0 Review(s),mk 4041
ورق,ظرف اهداء 168,Only 3 left,EGP 25,0 Review(s),mk 4070
زجاج,فنجان قهوه زجاج ,Only 13 left,EGP 120,0 Review(s),MK 3079
كروشيه,عروسة كروشيه( 36 cm ) ,Only 1 left,EGP 700,0 Review(s),mk 5058
جوخ,كتاب ترفيهي للاطفال,Only 11 left,EGP 165,0 Review(s),
